=====   TOP 5   =====


config.gold.rouge.xml.0  =>  rouge.out.txt.0
ROUGE-2 D0832F-A.txt.176 0.05911
ROUGE-2 D0832F-A.txt.165 0.05665

ROUGE-3 D0832F-A.txt.51 0.01741
ROUGE-3 D0832F-A.txt.49 0.01741
ROUGE-3 D0832F-A.txt.45 0.01741
ROUGE-3 D0832F-A.txt.215 0.01741
ROUGE-3 D0832F-A.txt.214 0.01741

ROUGE-4 D0832F-A.txt.52 0.00503
ROUGE-4 D0832F-A.txt.51 0.00503
ROUGE-4 D0832F-A.txt.50 0.00503
ROUGE-4 D0832F-A.txt.49 0.00503
ROUGE-4 D0832F-A.txt.48 0.00503


config.gold.rouge.xml.3  =>  rouge.out.txt.3

ROUGE-1 D0804A-A.txt.329 0.34063
ROUGE-1 D0804A-A.txt.273 0.33577
ROUGE-1 D0804A-A.txt.424 0.32603
ROUGE-1 D0804A-A.txt.274 0.32117
ROUGE-1 D0804A-A.txt.232 0.31873

ROUGE-2 D0804A-A.txt.424 0.06143
ROUGE-2 D0804A-A.txt.284 0.06143
ROUGE-2 D0804A-A.txt.279 0.06143
ROUGE-2 D0804A-A.txt.264 0.06143
ROUGE-2 D0804A-A.txt.286 0.05897

ROUGE-3 D0804A-A.txt.76 0.02481
ROUGE-3 D0804A-A.txt.424 0.02481
ROUGE-3 D0804A-A.txt.40 0.02481
ROUGE-3 D0804A-A.txt.335 0.02481
ROUGE-3 D0804A-A.txt.333 0.02481

ROUGE-4 D0804A-A.txt.76 0.01754
ROUGE-4 D0804A-A.txt.424 0.01754
ROUGE-4 D0804A-A.txt.40 0.01754
ROUGE-4 D0804A-A.txt.335 0.01754
ROUGE-4 D0804A-A.txt.333 0.01754


config.gold.rouge.xml.30  =>  rouge.out.txt.30

ROUGE-1 D0833F-A.txt.64 0.47132
ROUGE-1 D0833F-A.txt.88 0.42893
ROUGE-1 D0833F-A.txt.63 0.42893
ROUGE-1 D0833F-A.txt.86 0.42394
ROUGE-1 D0833F-A.txt.62 0.41646

ROUGE-2 D0833F-A.txt.1 0.17632
ROUGE-2 D0833F-A.txt.64 0.16877
ROUGE-2 D0833F-A.txt.86 0.16373
ROUGE-2 D0833F-A.txt.21 0.16121
ROUGE-2 D0833F-A.txt.88 0.15869

ROUGE-3 D0833F-A.txt.1 0.13740
ROUGE-3 D0833F-A.txt.19 0.11450
ROUGE-3 D0833F-A.txt.89 0.11196
ROUGE-3 D0833F-A.txt.88 0.11196
ROUGE-3 D0833F-A.txt.87 0.11196

ROUGE-4 D0833F-A.txt.1 0.10283
ROUGE-4 D0833F-A.txt.9 0.08483
ROUGE-4 D0833F-A.txt.89 0.08483
ROUGE-4 D0833F-A.txt.88 0.08483
ROUGE-4 D0833F-A.txt.87 0.08483


config.gold.rouge.xml.31  =>  rouge.out.txt.31

ROUGE-1 D0834F-A.txt.139 0.40426
ROUGE-1 D0834F-A.txt.141 0.40160
ROUGE-1 D0834F-A.txt.144 0.39894
ROUGE-1 D0834F-A.txt.148 0.39628
ROUGE-1 D0834F-A.txt.149 0.39096

ROUGE-2 D0834F-A.txt.144 0.11828
ROUGE-2 D0834F-A.txt.203 0.10484
ROUGE-2 D0834F-A.txt.201 0.10215
ROUGE-2 D0834F-A.txt.195 0.10215
ROUGE-2 D0834F-A.txt.183 0.10215

ROUGE-3 D0834F-A.txt.144 0.05163
ROUGE-3 D0834F-A.txt.96 0.04076
ROUGE-3 D0834F-A.txt.44 0.04076
ROUGE-3 D0834F-A.txt.143 0.04076
ROUGE-3 D0834F-A.txt.135 0.04076

ROUGE-4 D0834F-A.txt.144 0.03022
ROUGE-4 D0834F-A.txt.96 0.02747
